county,x,y
Alba,-126,43
Arad,-261,48
Arges,-7,-88
Bacau,140,61
Bihor,-212,123
Bistrita-Nasaud,-40,140
Botosani,131,212
Brasov,10,-6
Braila,222,-97
Buzau,132,-82
Caras-Severin,-244,-69
Calarasi,160,-180
Cluj,-129,95
Constanta,267,-188
Covasna,66,0
Dambovita,41,-121
Dolj,-121,-218
Giurgiu,73,-198
Galati,202,-12
Gorj,-126,-112
Harghita,34,57
Hunedoara,-163,-18
Ialomita,169,-141
Iasi,160,146
Ilfov,89,-138
Maramures,-120,189
Mehedinti,-168,-154
Mures,-45,71
Neamt,87,129
Olt,-47,-191
Prahova,95,-96
Satu Mare,-176,192
Salaj,-149,137
Sibiu,-52,-6
Suceava,45,175
Teleorman,20,-183
Timis,-292,-26
Tulcea,290,-98
Valcea,-71,-92
Vrancea,153,-12
Vaslui,219,67
Bucuresti,88,-167
