province,x,y
A Coruna,-230,338
Albacete,162,-36
Alicante,251,-66
Almeria,159,-180
Asturias,-99,351
Avila,-29,129
Badajoz,-122,-54
Barcelona,411,237
Burgos,65,263
Caceres,-122,44
Cadiz,-97,-232
Cantabria,18,336
Castellon,289,94
Ciudad Real,27,-28
Cordoba,-9,-120
Cuenca,165,70
Gerona,464,260
Granada,68,-175
Guadalajara,-60,0
Huelva,-169,-133
Huesca,275,243
Jaen,63,-104
Leon,-88,292
Lerida,347,251
La Rioja,116,269
Lugo,-170,318
Madrid,50,112
Malaga,-5,-197
Murcia,201,-89
Navarra,192,290
Orense,-201,263
Palencia,4,263
Las Palmas,-400,-400
Pontevedra,-241,297
Logano,-100,80
Salamanca,-120,141
Tenerife,-473,-342
Segovia,31,167
Sevilla,-84,-153
Soria,132,201
Tarragona,334,157
Teruel,229,139
Toledo,19,46
Valencia,242,40
Valladolid,-16,198
Vizcaya,108,341
Zamora,-74,207
Zaragoza,210,198
Baleares,200,-180
Ceuta,-120,-360
Melilla,40,-360
