province,x,y
A Coruna,-230,338
Albacete,162,-36
Alicante,251,-66
Almeria,159,-180
Asturias,-99,351
Avila,-29,129
Badajoz,-122,-54
Barcelona,411,237
Burgos,65,263
Caceres,-122,44
Cadiz,-97,-232
Cantabria,18,336
Castellon,289,94
Ciudad Real,27,-28
Cordoba,-9,-120
Cuenca,165,70
Gerona,464,260
Granada,68,-175
Guadalajara,109,136
Huelva,-169,-133
Huesca,275,243
Jaen,63,-104
Leon,-88,292
Lerida,347,251
La Rioja,116,269
Lugo,-170,318
Madrid,50,112
Malaga,-5,-197
Murcia,201,-89
Navarra,192,290
Orense,-181,256
Palencia,4,263
Pontevedra,-241,297
Salamanca,-120,141
Segovia,31,167
Sevilla,-84,-153
Soria,132,201
Tarragona,334,157
Teruel,229,139
Toledo,19,46
Valencia,242,40
Valladolid,-16,198
Vizcaya,108,341
Guipuzcoa,147,332
Alava,114,313
Zamora,-74,207
Zaragoza,210,198
Ceuta,-120,-360
Melilla,40,-360
Menorca,564,80
Mallorca,485,44
Ibiza,392,-9
Lanzarote,-240,-281
Fuerteventura,-265,-338
Gran Canaria,-385,-366
Tenerife,-473,-342
La Gomera,-514,-355
La Palma,-555,-305
El Hierro,-574,-387
